優先,ファイル名,人物,カード名,勢力,勢力色,兵種,役割,コスト,武勇,知略,必殺技,台詞,装いの手掛かり,気配の手掛かり
1,関平.png,関平,関平〔麒麟児〕,蜀,#47825a 緑,騎兵,火力,6,87,68,麒麟児,父上の名に恥じぬ戦を！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
1,馬騰.png,馬騰,馬騰〔西涼〕,群雄,#8a7640 黄土,騎兵,均衡,6,78,50,西涼鉄騎,西涼の風は、止まぬ。,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
1,黄蓋.png,黄蓋,黄蓋〔苦肉〕,呉,#a04343 朱赤,歩兵,耐久,6,83,65,苦肉の計,この老骨の傷、無駄にはせんぞ！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
1,文聘.png,文聘,文聘〔江夏〕,魏,#46689c 藍,歩兵・槍持ち,耐久,5,65,58,江夏の堅陣,江夏の守りは、わしの誇りだ。,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
1,楽進.png,楽進,楽進〔先登〕,魏,#46689c 藍,歩兵,均衡,5,86,58,先登,一番乗りは、いつもこの楽進よ！,徒歩の重装。長柄か大刀、厚い胴鎧,隙のない構え。攻守どちらにも見える自然体
1,沮授.png,沮授,沮授〔監軍〕,群雄,#8a7640 黄土,弓兵,支援,5,20,84,監軍の戒め,策は献じた。用いるかは君主の器量よ。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
1,王平.png,王平,王平〔無当〕,蜀,#47825a 緑,歩兵・槍持ち,均衡,5,72,74,無当飛軍,無当飛軍、山岳の戦に負けはない！,徒歩の重装。長柄か大刀、厚い胴鎧,隙のない構え。攻守どちらにも見える自然体
1,韓当.png,韓当,韓当〔老弓〕,呉,#a04343 朱赤,弓兵,火力,5,81,64,連射,孫家三代、この弓で支えてきた！,弓か弩を携える。軽装で身軽、遠くを見る目,攻めの気迫。得物を構え、前へ出る姿勢
1,周泰.png,周泰,周泰〔身代〕,呉,#a04343 朱赤,歩兵,耐久,4,89,49,身代わり,この傷の数だけ、主君を守った証！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
1,張任.png,張任,張任〔落鳳〕,群雄,#8a7640 黄土,騎兵,火力,4,79,80,落鳳坡,忠臣は二君に仕えず！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
1,徐盛.png,徐盛,徐盛〔疑城〕,呉,#a04343 朱赤,弓兵,均衡,4,75,83,疑城の計,疑心暗鬼、それがお前の敵だ。,弓か弩を携える。軽装で身軽、遠くを見る目,隙のない構え。攻守どちらにも見える自然体
1,曹仁.png,曹仁,曹仁〔堅守〕,魏,#46689c 藍,歩兵,耐久,4,88,64,鉄壁,この城壁、破れるものなら破ってみよ！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
1,荀攸.png,荀攸,荀攸〔謀主〕,魏,#46689c 藍,弓兵,火力,4,17,93,謀主,十二の奇策、まだ半分も見せておらん。,弓か弩を携える。軽装で身軽、遠くを見る目,攻めの気迫。得物を構え、前へ出る姿勢
1,陳宮.png,陳宮,陳宮〔公台〕,群雄,#8a7640 黄土,弓兵,支援,4,50,89,公台の策,この策に乗れぬなら、それまでの君よ。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
1,馬良.png,馬良,馬良〔白眉〕,蜀,#47825a 緑,弓兵,支援,4,25,82,白眉の進言,白眉もっとも良し——とは、面映ゆい。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
1,劉表.png,劉表,劉表〔八俊〕,群雄,#8a7640 黄土,弓兵,支援,3,30,65,荊州の静観,荊州は動かぬ。それでよいのだ。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
1,厳顔.png,厳顔,厳顔〔老当〕,蜀,#47825a 緑,歩兵,均衡,3,85,63,老当益壮,断頭将軍はあっても、降参将軍はない！,徒歩の重装。長柄か大刀、厚い胴鎧,隙のない構え。攻守どちらにも見える自然体
1,曹洪.png,曹洪,曹洪〔救主〕,魏,#46689c 藍,騎兵,均衡,3,84,52,救主,天下に曹洪はいなくとも、殿がいなくては！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
1,満寵.png,満寵,満寵〔剛毅〕,魏,#46689c 藍,弓兵,火力,3,58,86,剛毅,法を曲げるくらいなら、この首を曲げよ。,弓か弩を携える。軽装で身軽、遠くを見る目,攻めの気迫。得物を構え、前へ出る姿勢
1,袁術.png,袁術,袁術〔仲家〕,群雄,#8a7640 黄土,歩兵,支援,3,40,45,仲家の施し,玉璽は、この手の中にある！,徒歩の重装。長柄か大刀、厚い胴鎧,落ち着いた佇まい。書物・扇・采配など知の小物
1,諸葛瑾.png,諸葛瑾,諸葛瑾〔子瑜〕,呉,#a04343 朱赤,弓兵,支援,3,40,85,子瑜の弁,弟とは立場が違う。それだけのこと。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
1,陳到.png,陳到,陳到〔白毦〕,蜀,#47825a 緑,歩兵・槍持ち,耐久,3,84,60,白毦兵,白毦兵、影の如く主を守る。,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
1,馬岱.png,馬岱,馬岱〔追撃〕,蜀,#47825a 緑,騎兵,火力,3,80,65,追撃,逃すな！　追撃こそ我が役目！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
1,丁奉.png,丁奉,丁奉〔雪中〕,呉,#a04343 朱赤,弓兵,瞬発,2,78,74,雪中奮短兵,雪の中でこそ、刃は冴える！,弓か弩を携える。軽装で身軽、遠くを見る目,踏み込む直前の緊張。体をひねり、視線は鋭く
1,劉曄.png,劉曄,劉曄〔智嚢〕,魏,#46689c 藍,弓兵,火力,2,22,83,霹靂車,霹靂車——放て。,弓か弩を携える。軽装で身軽、遠くを見る目,攻めの気迫。得物を構え、前へ出る姿勢
1,張嶷.png,張嶷,張嶷〔越巂〕,蜀,#47825a 緑,歩兵,耐久,2,74,73,越巂の鎮,南中の民に誓った太平、ここで崩させん！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
1,張昭.png,張昭,張昭〔文淵〕,呉,#a04343 朱赤,弓兵,支援,2,22,86,江東の柱石,内を治めずして外は討てませぬぞ。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
1,李厳.png,李厳,李厳〔正方〕,蜀,#47825a 緑,騎兵,均衡,2,78,72,督運,糧道は任せよ。……戦もできるがな。,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
1,楽綝.png,楽綝,楽綝〔揚州〕,魏,#46689c 藍,騎兵,火力,2,78,55,揚州の驍,父の武名に恥じぬ働きを！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
1,潘璋.png,潘璋,潘璋〔急襲〕,呉,#a04343 朱赤,騎兵,火力,2,80,56,急襲,獲物は逃さん。関羽とて例外ではなかった！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
1,紀霊.png,紀霊,紀霊〔三尖刀〕,群雄,#8a7640 黄土,歩兵・槍持ち,均衡,2,65,30,三尖刀,三尖刀の錆にしてくれるわ！,徒歩の重装。長柄か大刀、厚い胴鎧,隙のない構え。攻守どちらにも見える自然体
1,全琮.png,全琮,全琮〔護軍〕,呉,#a04343 朱赤,騎兵,均衡,1,70,71,護軍,兵を愛する者こそ、兵に愛される。,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
1,呂範.png,呂範,呂範〔子衡〕,呉,#a04343 朱赤,弓兵,均衡,1,55,78,子衡の備,帳簿も陣も、乱れなく整えてこそ。,弓か弩を携える。軽装で身軽、遠くを見る目,隙のない構え。攻守どちらにも見える自然体
1,孫乾.png,孫乾,孫乾〔従事〕,蜀,#47825a 緑,歩兵,支援,1,28,75,従事,使者の足も、軍の力のうち。,徒歩の重装。長柄か大刀、厚い胴鎧,落ち着いた佇まい。書物・扇・采配など知の小物
1,宗預.png,宗預,宗預〔使者〕,蜀,#47825a 緑,弓兵,支援,1,58,72,結盟,歳を聞くな。働きを見よ。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
1,樊建.png,樊建,樊建〔伝令〕,蜀,#47825a 緑,弓兵,支援,1,40,70,伝令,伝令！　伝令ーッ！,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
1,田豫.png,田豫,田豫〔国譲〕,魏,#46689c 藍,騎兵,均衡,1,72,80,国譲の守,辺境の守り、地味こそ誉れ。,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
1,糜竺.png,糜竺,糜竺〔子仲〕,蜀,#47825a 緑,歩兵,均衡,1,25,72,糧道,財も命も、御家のために！,徒歩の重装。長柄か大刀、厚い胴鎧,隙のない構え。攻守どちらにも見える自然体
1,陳羣.png,陳羣,陳羣〔九品〕,魏,#46689c 藍,弓兵,支援,1,18,76,九品官人法,人には品あり、法には格あり。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
1,韓遂.png,韓遂,韓遂〔九曲〕,群雄,#8a7640 黄土,騎兵,均衡,1,55,50,九曲の遁走,乱世は長い。生き残った者の勝ちよ。,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
2,司馬懿.png,司馬懿,司馬懿〔冢虎〕,魏,#46689c 藍,弓兵,支援,10,63,98,堅忍,急くな。勝機は熟れて落ちるのを待つものだ。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
2,呂布.png,呂布,呂布〔飛将〕,群雄,#8a7640 黄土,騎兵,瞬発,10,100,26,無双乱舞,我が方天画戟の前に、敵はない！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,踏み込む直前の緊張。体をひねり、視線は鋭く
2,周瑜.png,周瑜,周瑜〔赤壁〕,呉,#a04343 朱赤,弓兵,火力,10,71,96,火計,火を放て。長江の風がすべて運んでくれる。,弓か弩を携える。軽装で身軽、遠くを見る目,攻めの気迫。得物を構え、前へ出る姿勢
2,孫策.png,孫策,孫策〔小覇王〕,呉,#a04343 朱赤,騎兵,火力,10,92,69,江東の疾風,江東の風は、俺より速いものを知らん！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
2,張角.png,張角,張角〔太平道〕,群雄,#8a7640 黄土,弓兵,火力,10,30,88,黄天の妖術,蒼天已死、黄天當立！,弓か弩を携える。軽装で身軽、遠くを見る目,攻めの気迫。得物を構え、前へ出る姿勢
2,曹操.png,曹操,曹操〔魏王〕,魏,#46689c 藍,騎兵,支援,10,72,91,唯才是挙,天下に才有らば、我これを用いるのみ！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,落ち着いた佇まい。書物・扇・采配など知の小物
2,張遼.png,張遼,張遼〔逍遥津〕,魏,#46689c 藍,騎兵,均衡,9,92,78,突撃,張遼が来たぞ！　泣く子も黙れ！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
2,陸遜.png,陸遜,陸遜〔夷陵〕,呉,#a04343 朱赤,弓兵,支援,9,69,95,連環の計,書生と侮ったな。それが命取りです。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
2,呂蒙.png,呂蒙,呂蒙〔白衣〕,呉,#a04343 朱赤,弓兵,支援,8,81,89,白衣渡江,呉下の阿蒙にあらず。刮目して見よ！,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
2,孫権.png,孫権,孫権〔碧眼〕,呉,#a04343 朱赤,弓兵,支援,8,67,80,江東の主,江東の虎の子、侮るなかれ！,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,孫堅.png,孫堅,孫堅〔江東の虎〕,呉,#a04343 朱赤,騎兵,火力,10,92,65,虎牢突撃,江東の虎、ここにあり！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
3,張飛.png,張飛,張飛〔当陽橋〕,蜀,#47825a 緑,歩兵・槍持ち,耐久,10,98,45,一喝,燕人張飛、ここにあり！　命の要らぬ奴からかかって来い！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
