キー,名前,帯,勢力,装備制限,功,型,効果,備考,元ネタ
t_sekitoba,赤兎馬,大,,騎兵,105,常在,,速度寄せ+0.3と兵力+2%（数値は盤面の定数から表示）,人中に呂布あり馬中に赤兎あり
t_motoku,孟徳新書,大,,,35,常在,,計略への備え（兵法防御）+15%,曹操が著した兵法書
t_rendo,諸葛連弩,大,,弓兵,65,常在,,通常攻撃の攻撃力+8%,一度に十矢を放つ連弩
t_gyokuji,伝国玉璽,大,群雄,,105,常在,,同じ部隊に群雄3人以上で全軍の気勢+8%,孫堅が井戸から得た帝位の証
t_iten,倚天剣,大,魏,,115,常在,,同じ部隊に魏3人以上で全軍の攻撃+3%,曹操が佩いた名剣
t_sonshi,孫子十三篇,大,呉,,35,常在,,同じ部隊に呉3人以上で全軍の守り+3%,呉の祖・孫武の兵法
t_shokkin,蜀錦,大,蜀,,105,常在,,同じ部隊に蜀3人以上で全軍の兵力+2%,蜀の名産・軍資の裏付け
t_seiryu,青龍偃月刀,中,,,105,常在,,武力+15,関羽の大刀・冷艶鋸
t_hakuusen,白羽扇,中,,,14,常在,,知力+15,諸葛亮の羽扇
t_teki,的盧,中,,,20,誘発,防御力 +5%（恒久）,ally_low_hp で発動 / 対象 自分 / 1戦4回まで,檀渓を跳んで劉備を救った凶馬。味方が崩れるほど主を離さない（§7.235）
t_kinno,錦嚢妙計,中,,,40,誘発,防御力 +10%（40秒）,ally_retreat で発動 / 対象 味方全体 / 1戦1回まで,「開けてみよ」の袋
t_gyokutai,玉帯詔,中,,,50,誘発,気勢 +15%（30秒）,foe_skill で発動 / 対象 味方全体 / 1戦1回まで,帯に縫い込まれた曹操討伐の密詔
t_shichisei,七星宝刀,中,,,3,常在,,この武将の兵法は打消しの構えに阻まれない,曹操が董卓の懐へ忍ばせた名刀
t_daijun,大楯,中,,歩兵,70,常在,,,歩兵が並べて壁とした大盾。矢は防げるが、重くて槍衾の機動が鈍る
t_bagai,馬鎧,中,,騎兵,7,常在,,,馬の胴を包む具足。歩兵の槍を弾くが、重装のぶん突撃の速さを失う
t_tankyu,短弓,中,,弓兵,85,常在,,,馬上でも扱える短い弓。遠くへは届かないが、懐へ入られても射ち続けられる
t_gentetsu,玄鉄の鎧,小,,,19,常在,,防御寄せ+0.3（釣り合いは§7.66の実測どおり・功0）,重く堅い鎧
t_keiki,軽騎の鞍,小,,騎兵,40,常在,,防御寄せ-0.3（兵が厚くなる）,軽く仕立てた鞍。身軽になり、遠くからの矢を馬でかわしやすくなる
t_seino,青嚢書,小,,,80,誘発,回復 最大兵力の6%,self_low_hp で発動 / 対象 自分 / 1戦1回まで,華佗の医書
t_mokgyu,木牛流馬,小,,,45,常在,,後衛に置いた時だけ守り+8%,兵站を運ぶ仕掛け
t_toko,杜康の酒,小,,,0,演出,,決めゼリフが必ず実況に出る。張飛は酔って徐州の城門を開かれ、呂布は酒を禁じて下邳で部下に売られた,何を以て憂いを解かん唯だ杜康有るのみ
